08-16-2022 17:13:33 | root | INFO     | main.py | 0083 | submitSpamOtp | phone input: 2323
08-16-2022 17:17:49 | root | INFO     | service_SmsOtp.py | 0016 | requestSpamSmsOtp | sdt: 0973329521
08-16-2022 17:17:49 | root | INFO     | service_SmsOtp.py | 0017 | requestSpamSmsOtp | url: https://api-sms-v2.herokuapp.com/vntrip?phone={sdt}
08-16-2022 17:17:51 | root | INFO     | service_SmsOtp.py | 0022 | requestSpamSmsOtp | "{\"data\":null,\"status\":\"error\",\"code\":\"CUS_IP_BLOCKED\",\"message\":\"Không thể thực hiện yêu cầu xác thực từ địa chỉ IP này. Vui lòng liên hệ tới đường dây nóng của chúng tôi 0963 266 688 để được hỗ trợ.\"}"
08-16-2022 17:17:51 | root | INFO     | main.py | 0116 | submitSpamOtp | 'count: 5, success: 2, fail: 3\nphone: 0973329521\nbrand: vntrip\nmessage: thành công'
08-16-2022 17:18:09 | root | INFO     | main.py | 0083 | submitSpamOtp | phone input: 0973329521
08-16-2022 17:18:09 | root | INFO     | main.py | 0085 | submitSpamOtp | phone edited: 0973329521
08-16-2022 17:18:09 | root | INFO     | service_SmsOtp.py | 0016 | requestSpamSmsOtp | sdt: 0973329521
08-16-2022 17:18:09 | root | INFO     | service_SmsOtp.py | 0017 | requestSpamSmsOtp | url: https://api-sms-v2.herokuapp.com/gojoy?phone={sdt}
08-16-2022 17:18:11 | root | INFO     | service_SmsOtp.py | 0022 | requestSpamSmsOtp | "{\"code\":4,\"message\":\"An error occurred in processing the request.\",\"error\":[{\"code\":4,\"message\":\"The recaptcha field is required.\"}],\"data\":null,\"timestamp\":1660645091}"
08-16-2022 17:18:11 | root | INFO     | main.py | 0116 | submitSpamOtp | 'count: 6, success: 3, fail: 3\nphone: 0973329521\nbrand: gojoy\nmessage: thành công'
08-16-2022 17:18:28 | root | INFO     | main.py | 0083 | submitSpamOtp | phone input: 0973329521
08-16-2022 17:18:28 | root | INFO     | main.py | 0085 | submitSpamOtp | phone edited: 0973329521
08-16-2022 17:18:28 | root | INFO     | service_SmsOtp.py | 0016 | requestSpamSmsOtp | sdt: 0973329521
08-16-2022 17:18:28 | root | INFO     | service_SmsOtp.py | 0017 | requestSpamSmsOtp | url: https://api-sms-v2.herokuapp.com/tiki?phone={sdt}
08-16-2022 17:18:29 | root | INFO     | service_SmsOtp.py | 0022 | requestSpamSmsOtp | "{\"error\":{\"code\":400,\"message\":\"Số điện thoại đã được đăng ký với 1 tài khoản khác\",\"errors\":[{\"field\":\"phone_number\",\"message\":\"Số điện thoại đã được đăng ký với 1 tài khoản khác\"}]}}"
08-16-2022 17:18:29 | root | INFO     | main.py | 0116 | submitSpamOtp | 'count: 7, success: 4, fail: 3\nphone: 0973329521\nbrand: tiki\nmessage: thành công'
08-16-2022 17:18:42 | root | INFO     | main.py | 0083 | submitSpamOtp | phone input: 0973329521
08-16-2022 17:18:42 | root | INFO     | main.py | 0085 | submitSpamOtp | phone edited: 0973329521
08-16-2022 17:18:42 | root | INFO     | service_SmsOtp.py | 0016 | requestSpamSmsOtp | sdt: 0973329521
08-16-2022 17:18:42 | root | INFO     | service_SmsOtp.py | 0017 | requestSpamSmsOtp | url: https://api-sms-v2.herokuapp.com/meta-vn?phone={sdt}
08-16-2022 17:18:44 | root | INFO     | service_SmsOtp.py | 0022 | requestSpamSmsOtp | "{\"Message\":\"Chưa có tài khoản\",\"Status\":\"send_ok\"}"
08-16-2022 17:18:44 | root | INFO     | main.py | 0116 | submitSpamOtp | 'count: 8, success: 5, fail: 3\nphone: 0973329521\nbrand: meta-vn\nmessage: thành công'
08-16-2022 17:20:07 | root | INFO     | main.py | 0083 | submitSpamOtp | phone input: 0973329521
08-16-2022 17:20:07 | root | INFO     | main.py | 0085 | submitSpamOtp | phone edited: 0973329521
08-16-2022 17:20:07 | root | INFO     | service_SmsOtp.py | 0016 | requestSpamSmsOtp | sdt: 0973329521
08-16-2022 17:20:07 | root | INFO     | service_SmsOtp.py | 0017 | requestSpamSmsOtp | url: https://api-sms-v2.herokuapp.com/meta-vn?phone={sdt}
08-16-2022 17:20:09 | root | INFO     | service_SmsOtp.py | 0022 | requestSpamSmsOtp | "{\"Message\":\"Chưa có tài khoản\",\"Status\":\"send_ok\"}"
08-16-2022 17:20:09 | root | INFO     | main.py | 0116 | submitSpamOtp | 'count: 9, success: 6, fail: 3\nphone: 0973329521\nbrand: meta-vn\nmessage: thành công'
08-16-2022 17:20:16 | root | INFO     | main.py | 0083 | submitSpamOtp | phone input: 0973329521
08-16-2022 17:20:16 | root | INFO     | main.py | 0085 | submitSpamOtp | phone edited: 0973329521
08-16-2022 17:20:16 | root | INFO     | service_SmsOtp.py | 0016 | requestSpamSmsOtp | sdt: 0973329521
08-16-2022 17:20:16 | root | INFO     | service_SmsOtp.py | 0017 | requestSpamSmsOtp | url: https://api-sms-v2.herokuapp.com/gojoy?phone={sdt}
08-16-2022 17:20:18 | root | INFO     | service_SmsOtp.py | 0022 | requestSpamSmsOtp | "{\"code\":4,\"message\":\"An error occurred in processing the request.\",\"error\":[{\"code\":4,\"message\":\"The recaptcha field is required.\"}],\"data\":null,\"timestamp\":1660645219}"
08-16-2022 17:20:18 | root | INFO     | main.py | 0116 | submitSpamOtp | 'count: 10, success: 7, fail: 3\nphone: 0973329521\nbrand: gojoy\nmessage: thành công'
